,princeton_positions,o_net_titles,similarity_score
808,Reservoir Engineer,Food Preparation Workers,0.0
809,Student Fellow,Food Preparation Workers,0.0
810,Senior UX Designer,Food Preparation Workers,0.0
811,Government Relations and Policy Analyst,Government Property Inspectors and Investigators,0.39999999999999997
812,Senior Machine Learning Research Engineer,Sewing Machine Operators,0.25819888974716115
813,Senior Process Engineering Manager,Automotive Engineering Technicians,0.2886751345948129
814,Senior Staff Engineer,Food Preparation Workers,0.0
815,AI Innovation Developer,Food Preparation Workers,0.0
816,Clinical Research Associate,Clinical Research Coordinators,0.6666666666666669
817,1st Lieutenant,Food Preparation Workers,0.0
818,Senior Staff Research Scientist,Clinical Research Coordinators,0.2886751345948129
819,North America Brand Director,Food Preparation Workers,0.0
820,Sales Representative,Sales Managers,0.4999999999999999
821,Film Director,Film and Video Editors,0.35355339059327373
822,Founder in Residence,Food Preparation Workers,0.0
823,Implementation Consultant,Food Preparation Workers,0.0
824,Interpretation Officer,"Military Officer Special and Tactical Operations Leaders, All Other",0.2357022603955158
825,Executive Director,Executive Secretaries and Executive Administrative Assistants,0.4999999999999999
826,Senior Test Automation Engineer,Food Preparation Workers,0.0
827,Private Wealth Advisor,"Cooks, Private Household",0.3333333333333334
828,Music Composer/ Music Producer,Music Therapists,0.5773502691896258
829,Data and Project Coordinator,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",0.36380343755449945
830,Algorithm Engineer,Food Preparation Workers,0.0
831,Associate In-House Counsel,Food Preparation Workers,0.0
832,Content Director,Food Preparation Workers,0.0
833,Logistics and Programming Manager,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",0.36380343755449945
834,Graduate Student,Food Preparation Workers,0.0
835,ABA therapist Aide,Physical Therapist Aides,0.3333333333333334
836,Senior Inside Sales Representative,Sales Managers,0.35355339059327373
837,Ship Design Management Analyst,Management Analysts,0.35355339059327373
838,Political Director,Political Scientists,0.4999999999999999
839,Security Analyst II,Security Managers,0.408248290463863
840,Structural Engineering Associate,Automotive Engineering Technicians,0.3333333333333334
841,Associate Strategy Officer,"Military Officer Special and Tactical Operations Leaders, All Other",0.19245008972987526
842,First Product Manager,Demonstrators and Product Promoters,0.2886751345948129
843,Senior Staff Program Manager,Food Preparation Workers,0.0
844,Ritt Assistant Professor,Food Preparation Workers,0.0
845,Event Production Coordinator,Hydroelectric Production Managers,0.3333333333333334
846,Sales Training Manager,Sales Managers,0.408248290463863
847,co-founder and co-director,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",0.27500954910846337
848,Chemical Engineering Specialist,Chemical Engineers,0.408248290463863
849,Technical Writer,Technical Writers,0.4999999999999999
850,Business Analyst,Business Continuity Planners,0.408248290463863
851,Space Instrument Engineer,Atmospheric and Space Scientists,0.2886751345948129
852,Data Science Expert,Data Scientists,0.408248290463863
853,Sports Instructor,Sports Medicine Physicians,0.408248290463863
854,Strategic Initiatives Manager,Food Preparation Workers,0.0
855,Freelance Musician,Food Preparation Workers,0.0
856,Bioethics Bowl Coach,Food Preparation Workers,0.0
857,Founding Member,Food Preparation Workers,0.0
858,Analytics Expert,Food Preparation Workers,0.0
859,Vaccine Process Engineer,Photographic Process Workers and Processing Machine Operators,0.2182178902359924
860,Human Factors Engineer,Human Factors Engineers and Ergonomists,0.5163977794943223
861,Associate Banker,Food Preparation Workers,0.0
862,Senior Equity Analyst,Food Preparation Workers,0.0
863,Associate Systems Engineer,Computer Systems Analysts,0.3333333333333334
864,Junior Analyst,Food Preparation Workers,0.0
865,Real World Data Epidemiologist,Data Scientists,0.35355339059327373
866,Project Research Intern,Clinical Research Coordinators,0.3333333333333334
867,Operations Strategy & Analytics Associate,Airfield Operations Specialists,0.2886751345948129
868,Engineer I,Food Preparation Workers,0.0
869,Social Media Manager,Healthcare Social Workers,0.3333333333333334
870,Marketing Manager,Marketing Managers,0.4999999999999999
871,Acquisitions Analyst,Food Preparation Workers,0.0
872,Vertical Market Manager,Market Research Analysts and Marketing Specialists,0.2357022603955159
873,Senior Design Researcher,Food Preparation Workers,0.0
874,Democracy Postdoctoral Fellow,Food Preparation Workers,0.0
875,Assistant Professor of Finance,Cleaners of Vehicles and Equipment,0.22360679774997896
876,Dermatology Physician Assistant,Physician Assistants,0.408248290463863
877,Assistant Policy Researcher,Climate Change Policy Analysts,0.2886751345948129
878,Investments and Operations Professional,Aerospace Engineering and Operations Technologists and Technicians,0.5
879,Consulting Associate,Food Preparation Workers,0.0
880,Sales Support Specialist,Sales Managers,0.408248290463863
881,Investment Fellow Analyst,Investment Fund Managers,0.3333333333333334
882,Executive Underwriter,Executive Secretaries and Executive Administrative Assistants,0.4999999999999999
883,Ambassador,Food Preparation Workers,0.0
884,Senior Consultant,Food Preparation Workers,0.0
885,Power And Gas Strategist,"Roustabouts, Oil and Gas",0.5
886,Science Faculty,Forensic Science Technicians,0.408248290463863
887,Deputy Mayor,Food Preparation Workers,0.0
888,Wholesale Manager,"Wholesale and Retail Buyers, Except Farm Products",0.26726124191242434
889,Tech Lead Manager,Food Preparation Workers,0.0
890,Master of Arts,Cleaners of Vehicles and Equipment,0.25819888974716115
891,Backend Developer,Food Preparation Workers,0.0
892,Investment Executive,Executive Secretaries and Executive Administrative Assistants,0.4999999999999999
893,co founder,Food Preparation Workers,0.0
894,Doctor of Law,"Law Teachers, Postsecondary",0.3333333333333334
895,Motion Researcher,Motion Picture Projectionists,0.408248290463863
896,Clinician,Food Preparation Workers,0.0
897,Consulting Advisor,Food Preparation Workers,0.0
898,Segment Producer,Food Preparation Workers,0.0
899,Senior Product Associate,Demonstrators and Product Promoters,0.2886751345948129
900,Public Health Manager,Public Relations Specialists,0.3333333333333334
901,Upper School French Teacher,School Psychologists,0.35355339059327373
902,Bid and Value Engineer,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",0.36380343755449945
903,Go to Market Strategy & Operations Lead,Airfield Operations Specialists,0.2357022603955159
904,Solution Delivery Manager,Food Preparation Workers,0.0
905,Senior Strategy Manager,Food Preparation Workers,0.0
906,Adjunct Professor,Food Preparation Workers,0.0
907,Music Teacher,Music Therapists,0.4999999999999999
908,Orthopaedic Surgery Resident,Food Preparation Workers,0.0
909,Senior Revenue Operations Manager,Airfield Operations Specialists,0.2886751345948129
910,Digital Newsroom Coordinator,Digital Forensics Analysts,0.3333333333333334
911,Employee,Food Preparation Workers,0.0
912,Senior Data Strategist,Data Scientists,0.408248290463863
913,Faculty Associate,Food Preparation Workers,0.0
914,Social Studies Teacher,Healthcare Social Workers,0.3333333333333334
915,Associate Publicist,Food Preparation Workers,0.0
916,Machine Learning Engineer,Sewing Machine Operators,0.3333333333333334
917,Visiting Fulbright Scholar,Food Preparation Workers,0.0
918,Canadian Ice Hockey Player,Food Preparation Workers,0.0
919,Experienced Propulsion Engineer,Food Preparation Workers,0.0
920,Digital Communications Manager,Digital Forensics Analysts,0.3333333333333334
921,Software Technical Architect Leader,Technical Writers,0.35355339059327373
922,Sustainability Advisor,Sustainability Specialists,0.4999999999999999
923,Returning Markets Summer Analyst,Food Preparation Workers,0.0
924,Film Production & Acquisitions Coordinator,Hydroelectric Production Managers,0.2886751345948129
925,Investment Engineer,Investment Fund Managers,0.408248290463863
926,Implementation Manager,Food Preparation Workers,0.0
927,MRI Coordinator,Food Preparation Workers,0.0
928,Environmental Consultant,Environmental Engineers,0.4999999999999999
929,Justice Catalyst Fellow,"Criminal Justice and Law Enforcement Teachers, Postsecondary",0.2182178902359924
930,Project Engineer,Project Management Specialists,0.408248290463863
931,Solutions Manager,Food Preparation Workers,0.0
932,Sponsorship & Partnership Producer,Food Preparation Workers,0.0
933,Senior Legal Counsel,Paralegals and Legal Assistants,0.2886751345948129
934,Market Operations Analyst,Airfield Operations Specialists,0.3333333333333334
935,Statistical Programmer,Statistical Assistants,0.4999999999999999
936,Creator,Food Preparation Workers,0.0
937,Chief Nursing Officer,Nursing Assistants,0.408248290463863
938,Salesperson,Food Preparation Workers,0.0
939,Lead Data Scientist,Data Scientists,0.408248290463863
940,Modeling Associate,Food Preparation Workers,0.0
941,YouTube Data Science,Data Scientists,0.408248290463863
942,Medical Laboratory Scientist,Medical and Clinical Laboratory Technicians,0.5163977794943223
943,Digital Strategist,Digital Forensics Analysts,0.408248290463863
944,Structural Engineering Intern,Automotive Engineering Technicians,0.3333333333333334
945,Head of Operations,First-Line Supervisors of All Other Tactical Operations Specialists,0.3849001794597505
946,Freelance Artist,Food Preparation Workers,0.0
947,Resident Tutor,Food Preparation Workers,0.0
948,Lead Associate Trading Director,Food Preparation Workers,0.0
949,Neuroradiology Fellow,Food Preparation Workers,0.0
950,Senior Production Underwriter,Hydroelectric Production Managers,0.3333333333333334
951,Director of City Growth,Cleaners of Vehicles and Equipment,0.22360679774997896
952,Residential Counselor,Residential Advisors,0.4999999999999999
953,Comments Editor,Food Preparation Workers,0.0
954,Director of Operations,First-Line Supervisors of All Other Tactical Operations Specialists,0.3849001794597505
955,Law Fellow,"Law Teachers, Postsecondary",0.408248290463863
956,Senior Growth Strategist,Food Preparation Workers,0.0
957,Gallery Associate,Food Preparation Workers,0.0
958,Senior Community Developer,Community Health Workers,0.3333333333333334
959,Risk Manager,Financial Risk Specialists,0.408248290463863
960,Junior Research Analyst,Clinical Research Coordinators,0.3333333333333334
961,Senior Clinical Research Associate,Clinical Research Coordinators,0.5773502691896258
962,Investment Research Analyst,Clinical Research Coordinators,0.3333333333333334
963,Engineering Solutions Analyst,Automotive Engineering Technicians,0.3333333333333334
964,Senior Healthcare Consultant,Healthcare Social Workers,0.3333333333333334
965,Innovation Strategist,Food Preparation Workers,0.0
966,Private Equity,"Cooks, Private Household",0.408248290463863
967,Clerk,Food Preparation Workers,0.0
968,SABER Logger,Food Preparation Workers,0.0
969,Solar Design Engineer,Solar Photovoltaic Installers,0.3333333333333334
970,Offensive Line Coach,Telecommunications Line Installers and Repairers,0.25819888974716115
971,Partnerships and Innovation Projects Coordinator,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",0.32539568672798425
972,Senior Analytics Manager,Food Preparation Workers,0.0
973,Natural Language Processing Engineer,Natural Sciences Managers,0.2886751345948129
974,Sales Executive,Sales Managers,0.4999999999999999
975,Developer,Food Preparation Workers,0.0
976,Advocacy Officer,"Military Officer Special and Tactical Operations Leaders, All Other",0.2357022603955158
977,Clinical Ultrasound Fellow,Clinical Neuropsychologists,0.408248290463863
978,Technical Writer II,Technical Writers,0.408248290463863
979,Senior Advanced Physicist,Advanced Practice Psychiatric Nurses,0.2886751345948129
980,Peer Tutor,Food Preparation Workers,0.0
981,Strategic Advisor,Food Preparation Workers,0.0
982,Associate Technical Artist,Technical Writers,0.408248290463863
983,Anesthesiologist,Anesthesiologist Assistants,0.7071067811865475
984,Real Estate Broker Associate,Real Estate Brokers,0.5773502691896258
985,Client Services Specialist,Administrative Services Managers,0.3333333333333334
986,Managing Principal,Food Preparation Workers,0.0
987,Clinical Research Coordinator,Clinical Research Coordinators,0.6666666666666669
988,Associate Business Lead,Business Continuity Planners,0.3333333333333334
989,Business Intelligence Engineer II,Business Intelligence Analysts,0.5773502691896258
990,Strategic Finance Manager,Food Preparation Workers,0.0
991,Enterprise Customer Relationship Executive,Executive Secretaries and Executive Administrative Assistants,0.35355339059327373
992,Performance Artist,"Makeup Artists, Theatrical and Performance",0.3162277660168379
993,Clinician Scientist,Food Preparation Workers,0.0
994,Internal Business Consultant,Business Continuity Planners,0.3333333333333334
995,Senior System Engineer,Chemical Plant and System Operators,0.25819888974716115
996,Principal Support Engineer,Computer Network Support Specialists,0.2886751345948129
997,Architect III,Food Preparation Workers,0.0
998,Research Statistician,Clinical Research Coordinators,0.408248290463863
999,Entrepreneur In Residence,Food Preparation Workers,0.0
1000,Engineer,Food Preparation Workers,0.0
1001,Logistics Lead,Logistics Analysts,0.4999999999999999
1002,Math 6 Teacher,Food Preparation Workers,0.0
1003,Senior Simulation Engineer,Food Preparation Workers,0.0
1004,Staff Research Scientist,Clinical Research Coordinators,0.3333333333333334
1005,Chief,Chief Executives,0.7071067811865475
1006,Compliance & Operations Associate,Compliance Managers,0.408248290463863
1007,Policy Officer,Climate Change Policy Analysts,0.35355339059327373
1008,Incoming GNC Engineer,Food Preparation Workers,0.0
1009,Assistant Inventory Planner,"Shipping, Receiving, and Inventory Clerks",0.25819888974716115
1010,Manager II,Food Preparation Workers,0.0
1011,Senior Cities Consultant,Food Preparation Workers,0.0
1012,Attorney At Law,"Law Teachers, Postsecondary",0.3333333333333334
1013,Innovation Fellow,Food Preparation Workers,0.0
1014,Post-Placement Counselor,Food Preparation Workers,0.0
1015,Choreographer,Food Preparation Workers,0.0
1016,Managing Consultant,Food Preparation Workers,0.0
1017,Consumer Director,"Family and Consumer Sciences Teachers, Postsecondary",0.2886751345948129
1018,Client Solutions Manager,Food Preparation Workers,0.0
1019,Senior Programmatic Partner Manager,Food Preparation Workers,0.0
1020,Company Commander,Food Preparation Workers,0.0
1021,Sector Data Associate,Data Scientists,0.408248290463863
1022,Supplier Quality Engineer,Quality Control Analysts,0.3333333333333334
1023,Senior Data Science Analyst,Data Scientists,0.35355339059327373
1024,Obstetrics and Gynecology Resident,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",0.36380343755449945
1025,Juris Doctorate Candidate,Food Preparation Workers,0.0
1026,New Product Development Engineer,Biofuels/Biodiesel Technology and Product Development Managers,0.3779644730092272
1027,College and Career Advisor,"Educational, Guidance, and Career Counselors and Advisors",0.5
1028,Head of North America,Chefs and Head Cooks,0.25
1029,Clinic Director,Food Preparation Workers,0.0
1030,Director of Product,Demonstrators and Product Promoters,0.2886751345948129
1031,Operations and HR Consultant,Aerospace Engineering and Operations Technologists and Technicians,0.5
1032,Development Test Engineer,Training and Development Managers,0.2886751345948129
1033,Staff Research Associate II,Clinical Research Coordinators,0.2886751345948129
1034,Junior Aerodynamics Engineer,Food Preparation Workers,0.0
1035,strategy expert,Food Preparation Workers,0.0
1036,Upper School Mathematics Teacher,School Psychologists,0.35355339059327373
1037,Artistic Director,Food Preparation Workers,0.0
1038,Client Manager,Food Preparation Workers,0.0
1039,Freelance Technical Translator,Technical Writers,0.408248290463863
1040,Chapter President,Food Preparation Workers,0.0
1041,Alternative Markets Group Associate,Exercise Trainers and Group Fitness Instructors,0.20412414523193154
1042,Analytics Manager,Food Preparation Workers,0.0
1043,Redwoods Resident,Food Preparation Workers,0.0
1044,Public Defender,Public Relations Specialists,0.408248290463863
1045,Engineering Manager,Automotive Engineering Technicians,0.408248290463863
1046,Supply Chain Analyst,Supply Chain Managers,0.6666666666666669
1047,Direct Lending Analyst,Food Preparation Workers,0.0
1048,Systems Engineer,Computer Systems Analysts,0.408248290463863
1049,Commercial Account,Commercial Divers,0.4999999999999999
1050,Process and Analytics Coach,Photographic Process Workers and Processing Machine Operators,0.3779644730092272
1051,Communications Fellow,"Communications Teachers, Postsecondary",0.408248290463863
1052,Investment Vice President,Investment Fund Managers,0.3333333333333334
1053,Municipal Credit Analyst,Credit Counselors,0.408248290463863
1054,Business Planning Analyst,Business Continuity Planners,0.3333333333333334
1055,Visualization Specialist,Food Preparation Workers,0.0
1056,Cheese and Beer Monger,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",0.36380343755449945
1057,Economist,Food Preparation Workers,0.0
1058,Data Science Analyst,Data Scientists,0.408248290463863
1059,High Net Worth Service Associate,Food Service Managers,0.25819888974716115
1060,Travel Insights Manager,Travel Guides,0.408248290463863
1061,Commercial Training Manager,Commercial Divers,0.408248290463863
1062,School Grounds Manager,School Psychologists,0.408248290463863
1063,Senior Counsel,Food Preparation Workers,0.0
1064,Research and development,Training and Development Managers,0.5773502691896258
1065,Business Strategy Analyst,Business Continuity Planners,0.3333333333333334
1066,Credit Trader,Credit Counselors,0.4999999999999999
1067,Strategy & Operations Director,Airfield Operations Specialists,0.3333333333333334
1068,Private Mathematics Tutor,"Cooks, Private Household",0.3333333333333334
1069,Senior Systems Engineer,Computer Systems Analysts,0.3333333333333334
1070,Content Initiatives Manager,Food Preparation Workers,0.0
1071,Omnichannel Manager,Food Preparation Workers,0.0
1072,Software developer,Software Developers,0.4999999999999999
1073,Staff Mechanical Engineering Team Leader,Mechanical Engineering Technologists and Technicians,0.39999999999999997
1074,Engineering Manager II,Automotive Engineering Technicians,0.3333333333333334
1075,Content Lead,Food Preparation Workers,0.0
1076,Product Business Analyst,Business Continuity Planners,0.3333333333333334
1077,Counsel to the Deputy Attorney General,"Dentists, General",0.2886751345948129
1078,Senior Software Engineer I,Software Developers,0.408248290463863
1079,Senior Business Operations Analyst,"Business Operations Specialists, All Other",0.4472135954999579
1080,Product Lead,Demonstrators and Product Promoters,0.35355339059327373
1081,Epidemic Intelligence Service Officer,Intelligence Analysts,0.35355339059327373
1082,Area Scout,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",0.26726124191242434
1083,Senior Build Engineer,Food Preparation Workers,0.0
1084,Teaching Artist,"Teaching Assistants, Postsecondary",0.408248290463863
1085,Quantitative Associate,Financial Quantitative Analysts,0.408248290463863
1086,User Experience Product Manager,Demonstrators and Product Promoters,0.25
1087,Administrative Aide,Administrative Services Managers,0.408248290463863
1088,Deputy Inspector General,"Dentists, General",0.408248290463863
1089,Senior Researcher,Food Preparation Workers,0.0
1090,Associate Blogger,Food Preparation Workers,0.0
1091,Support Engineer,Computer Network Support Specialists,0.35355339059327373
1092,Software Dev Engineer,Software Developers,0.408248290463863
1093,Behavior Therapist,Physical Therapist Aides,0.408248290463863
1094,Content & Program Operations Manager,Airfield Operations Specialists,0.2886751345948129
1095,Pediatric Resident,Pediatric Surgeons,0.4999999999999999
1096,Marketing Analytics Supervisor,Marketing Managers,0.408248290463863
1097,Algo Developer Lead,Food Preparation Workers,0.0
1098,Diversity Scholars Postdoctoral Fellow,Food Preparation Workers,0.0
1099,Macro Business Manager,Business Continuity Planners,0.3333333333333334
1100,Technical Artist,Technical Writers,0.4999999999999999
1101,Brand Finance Associate Manager,Food Preparation Workers,0.0
1102,Psychiatry Fellow,Food Preparation Workers,0.0
1103,Visiting Assistant Professor,Food Preparation Workers,0.0
1104,AAAS Congressional Science Policy Fellow,Forensic Science Technicians,0.25819888974716115
1105,Software And Automation Engineer,Software Quality Assurance Analysts and Testers,0.4082482904638631
1106,Elementary Support Teacher,Computer Network Support Specialists,0.2886751345948129
1107,Assistant Director of Admissions,Cleaners of Vehicles and Equipment,0.22360679774997896
1108,Cashier,Food Preparation Workers,0.0
1109,Essay Editor,Food Preparation Workers,0.0
1110,Structural Design Engineer II,Structural Iron and Steel Workers,0.22360679774997896
1111,Asia Tech Correspondent,Food Preparation Workers,0.0
1112,Data journalist,Data Scientists,0.4999999999999999
1113,Rehabilitation Coach,Rehabilitation Counselors,0.4999999999999999
1114,Regional CEO,Urban and Regional Planners,0.35355339059327373
1115,Strategy & Operations Manager,Airfield Operations Specialists,0.3333333333333334
1116,Regulatory Analyst,Regulatory Affairs Managers,0.408248290463863
1117,Consulting,Food Preparation Workers,0.0
1118,Compliance Associate,Compliance Managers,0.4999999999999999
1119,Global BD & Partnerships Lead,Food Preparation Workers,0.0
1120,Site Reliability Engineer,Brownfield Redevelopment Specialists and Site Managers,0.2357022603955159
1121,Usability Researcher,Food Preparation Workers,0.0
1122,Senior Reporter,Food Preparation Workers,0.0
1123,Deputy Program Manager,Food Preparation Workers,0.0
1124,PGY-4,Food Preparation Workers,0.0
1125,Strategy & Operations Program Manager,Airfield Operations Specialists,0.2886751345948129
1126,Recruitment Consultant,Food Preparation Workers,0.0
1127,Worldwide Procurement Analyst,Procurement Clerks,0.408248290463863
1128,Senior Systems Software Engineer,Software Developers,0.35355339059327373
1129,Senior Geoscientist,Food Preparation Workers,0.0
1130,Senior Nuclear Project Engineer,Nuclear Engineers,0.35355339059327373
1131,Fundamental Research Analyst,Clinical Research Coordinators,0.3333333333333334
1132,Product Manager,Demonstrators and Product Promoters,0.35355339059327373
1133,Product Operations Manager,Airfield Operations Specialists,0.3333333333333334
1134,Data Scientist III,Data Scientists,0.408248290463863
1135,Chief Medical Scribe,Medical Transcriptionists,0.408248290463863
1136,Battalion Assistant Operations Officer,"Military Officer Special and Tactical Operations Leaders, All Other",0.3333333333333333
1137,Assistant Public Defender,Public Relations Specialists,0.3333333333333334
1138,Associate Marketing Manager,Marketing Managers,0.408248290463863
1139,Policy Specialist,Climate Change Policy Analysts,0.35355339059327373
1140,Sales Operations Manager,Sales Managers,0.408248290463863
1141,Lead Material Scientist,Refuse and Recyclable Material Collectors,0.25819888974716115
1142,Technical Solutions Consultant,Technical Writers,0.408248290463863
1143,Senior Security Consultant,Security Managers,0.408248290463863
1144,External Relations Operations Manager,Airfield Operations Specialists,0.2886751345948129
1145,DMD Candidate,Food Preparation Workers,0.0
1146,Technical Researcher,Technical Writers,0.4999999999999999
1147,Co-Editor-in-Chief,Chief Executives,0.35355339059327373
1148,Sales Operations Associate,Sales Managers,0.408248290463863
1149,Technology Associate,Information Technology Project Managers,0.35355339059327373
1150,Hardware Engineer Lead,Computer Hardware Engineers,0.3333333333333334
1151,Development Officer,Training and Development Managers,0.35355339059327373
1152,Named Visiting Assistant Professor,Food Preparation Workers,0.0
1153,Visiting Policy Associate,Climate Change Policy Analysts,0.2886751345948129
1154,Director of Finance,Cleaners of Vehicles and Equipment,0.25819888974716115
1155,Senior Associate Advisory,Food Preparation Workers,0.0
1156,Quality Systems Specialist,Quality Control Systems Managers,0.5773502691896258
1157,Healthcare Manager,Healthcare Social Workers,0.408248290463863
1158,Veterinary Specialist,Veterinary Technologists and Technicians,0.35355339059327373
1159,Lead Associate,Food Preparation Workers,0.0
1160,Pediatric Cardiologist Research Assistant,Pediatric Surgeons,0.35355339059327373
1161,Future Trainee Solicitor,Food Preparation Workers,0.0
1162,Workday Consultant,Food Preparation Workers,0.0
1163,MS Candidate,Food Preparation Workers,0.0
1164,Research Manager,Clinical Research Coordinators,0.408248290463863
1165,Assistant Attorney,Food Preparation Workers,0.0
1166,Software Consultant,Software Developers,0.4999999999999999
1167,Machine Learning Engineer I,Sewing Machine Operators,0.3333333333333334
1168,Business Development Representative Manager,Business Continuity Planners,0.2886751345948129
1169,KIPAC Postdoctoral Fellow,Food Preparation Workers,0.0
1170,Data Associate,Data Scientists,0.4999999999999999
1171,Data Analyst III,Data Scientists,0.408248290463863
1172,Bioprocess Engineer,Food Preparation Workers,0.0
1173,Principal Engineer,Food Preparation Workers,0.0
1174,Private Equity Analyst,"Cooks, Private Household",0.3333333333333334
1175,Bilingual Teacher,Food Preparation Workers,0.0
1176,Structural Engineering,Automotive Engineering Technicians,0.408248290463863
1177,Senior Program Officer,"Military Officer Special and Tactical Operations Leaders, All Other",0.19245008972987526
1178,Structuring Associate,Food Preparation Workers,0.0
1179,History Instructor,"History Teachers, Postsecondary",0.408248290463863
1180,Development Group Leader,Training and Development Managers,0.2886751345948129
1181,Exploratory Research Lead,Clinical Research Coordinators,0.3333333333333334
1182,Senior Account Services Lead,Administrative Services Managers,0.2886751345948129
1183,Senior Appellate Counsel,Food Preparation Workers,0.0
1184,Growth and Operations Associate,Aerospace Engineering and Operations Technologists and Technicians,0.5
1185,Commercial Real Estate Underwriter,Real Estate Brokers,0.5773502691896258
1186,Research Technician B,Clinical Research Coordinators,0.408248290463863
1187,UX Designer,Food Preparation Workers,0.0
1188,Special Assistant to the CEO,Special Forces,0.3162277660168379
1189,Commissioner,Food Preparation Workers,0.0
1190,Student Coordinator,Food Preparation Workers,0.0
1191,Attending Psychiatrist,Food Preparation Workers,0.0
1192,Orchestra Director,Food Preparation Workers,0.0
1193,Core Lecturer,Food Preparation Workers,0.0
1194,Senior Growth Marketing Manager,Marketing Managers,0.35355339059327373
1195,Community & Insights Associate,Community Health Workers,0.3333333333333334
1196,Senior Solutions Architect,Food Preparation Workers,0.0
1197,Tax Senior,Tax Preparers,0.4999999999999999
1198,Downtown Development Director,Training and Development Managers,0.2886751345948129
1199,Press Secretary,Printing Press Operators,0.408248290463863
1200,Senior Procurement Analyst,Procurement Clerks,0.408248290463863
1201,Junior Story Producer,Food Preparation Workers,0.0
1202,Registered Psychotherapist,Registered Nurses,0.4999999999999999
1203,District Public Information Specialist,Information Security Engineers,0.2886751345948129
1204,Regional Sales Manager,Sales Managers,0.408248290463863
1205,Field Organizer,Food Preparation Workers,0.0
1206,Institutional Equity Associate,Food Preparation Workers,0.0
1207,Technical Staff,Technical Writers,0.4999999999999999
1208,Corporate Lawyer,Food Preparation Workers,0.0
1209,Research and Analysis Assistant,Computer and Information Research Scientists,0.4472135954999579
1210,Global Sales Transformation Leader,Sales Managers,0.35355339059327373
1211,AI and Data Product specialist,Demonstrators and Product Promoters,0.4472135954999579
1212,Senior Enterprise Client Solutions Manager,Food Preparation Workers,0.0
1213,Director of Acquisitions,Cleaners of Vehicles and Equipment,0.25819888974716115
1214,Senior Hardware Engineer,Computer Hardware Engineers,0.3333333333333334
1215,Administrative Director,Administrative Services Managers,0.408248290463863
1216,8th Grade Counselor,Food Preparation Workers,0.0
1217,Lead Android Engineer,Food Preparation Workers,0.0
1218,Content Author,Food Preparation Workers,0.0
1219,Media Research Lead,Clinical Research Coordinators,0.3333333333333334
1220,MPhil Student,Food Preparation Workers,0.0
1221,Curator,Food Preparation Workers,0.0
1222,Senior Health Analyst,Mental Health Counselors,0.3333333333333334
1223,Life Sciences Consultant,Natural Sciences Managers,0.3333333333333334
1224,Chief Architect,Chief Executives,0.4999999999999999
1225,Research Specialist,Clinical Research Coordinators,0.408248290463863
1226,MD-PhD student,Food Preparation Workers,0.0
1227,Grants Management Specialist,Management Analysts,0.408248290463863
1228,Assistant Program Director,Food Preparation Workers,0.0
1229,Lead Climate Risk Advisor,Financial Risk Specialists,0.2886751345948129
1230,Senior Data Scientist II,Data Scientists,0.35355339059327373
1231,Senior Product Engineer,Demonstrators and Product Promoters,0.2886751345948129
1232,Development Manager,Training and Development Managers,0.35355339059327373
1233,Deployment Engineer,Food Preparation Workers,0.0
1234,Doctor of Medicine,Family Medicine Physicians,0.3333333333333334
1235,Corporate Student,Food Preparation Workers,0.0
1236,Pulmonologist,Food Preparation Workers,0.0
1237,Marketplace Strategy and Operations Manager,General and Operations Managers,0.4472135954999579
1238,Senior Salesforce Consultant,Food Preparation Workers,0.0
1239,Veterinarian,Food Preparation Workers,0.0
1240,Catering Coordinator,Food Preparation Workers,0.0
1241,Research Project Associate,Clinical Research Coordinators,0.3333333333333334
1242,Associate Operations Manager,Airfield Operations Specialists,0.3333333333333334
1243,Data Consultant,Data Scientists,0.4999999999999999
1244,Gruber Fellow,Food Preparation Workers,0.0
1245,Asset and Transaction Manager,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",0.36380343755449945
1246,Proofreader,Food Preparation Workers,0.0
1247,Product Marketing Lead,Marketing Managers,0.408248290463863
1248,Agent Assistant,Food Preparation Workers,0.0
1249,Data Specialist,Data Scientists,0.4999999999999999
1250,Registered Architect,Registered Nurses,0.4999999999999999
1251,Visiting Researcher,Food Preparation Workers,0.0
1252,Digital Marketing Consultant,Marketing Managers,0.408248290463863
1253,Social Emotional Learning Virtual Facilitator,Healthcare Social Workers,0.25819888974716115
1254,Astrodynamics and Control Systems Analyst,Quality Control Systems Managers,0.4472135954999579
1255,Tour Guide,Tour Guides and Escorts,0.35355339059327373
1256,Strategic Client Success Associate,Food Preparation Workers,0.0
1257,RIA Market Leader,Market Research Analysts and Marketing Specialists,0.2357022603955159
1258,Manager of Strategy & Growth,Cleaners of Vehicles and Equipment,0.22360679774997896
1259,Leadership Advisory Specialist,Food Preparation Workers,0.0
1260,Project Lead,Project Management Specialists,0.408248290463863
