,Target Job Title,Matched Job Title,Similarity Score
819,North America Brand Director,Producers and Directors,0.56525624
820,Sales Representative,Retail Salespersons,0.7388047
821,Film Director,Producers and Directors,0.724832
822,Founder in Residence,"Cooks, Private Household",0.3494824
823,Implementation Consultant,Project Management Specialists,0.5595657
824,Interpretation Officer,Compliance Officers,0.55418324
825,Executive Director,Chief Executives,0.7296768
826,Senior Test Automation Engineer,Automotive Engineering Technicians,0.544098
827,Private Wealth Advisor,Personal Financial Advisors,0.6815274
828,Music Composer/ Music Producer,Music Directors and Composers,0.7981012
829,Data and Project Coordinator,Project Management Specialists,0.7139938
830,Algorithm Engineer,Computer Hardware Engineers,0.5827508
831,Associate In-House Counsel,Residential Advisors,0.58124465
832,Content Director,Media Programming Directors,0.5486639
833,Logistics and Programming Manager,Logistics Engineers,0.77117515
834,Graduate Student,"Education Administrators, Postsecondary",0.49128866
835,ABA therapist Aide,Occupational Therapy Aides,0.75234365
836,Senior Inside Sales Representative,Sales Managers,0.61307967
837,Ship Design Management Analyst,Ship Engineers,0.7395161
838,Political Director,Political Scientists,0.6481056
839,Security Analyst II,Information Security Analysts,0.8008499
840,Structural Engineering Associate,Mechanical Engineers,0.6493997
841,Associate Strategy Officer,Infantry Officers,0.5608383
842,First Product Manager,Sales Managers,0.586455
843,Senior Staff Program Manager,Administrative Services Managers,0.6039493
844,Ritt Assistant Professor,"Teaching Assistants, Special Education",0.48067716
845,Event Production Coordinator,"Meeting, Convention, and Event Planners",0.5986558
846,Sales Training Manager,Sales Managers,0.8348104
847,co-founder and co-director,Art Directors,0.5256593
848,Chemical Engineering Specialist,Chemical Engineers,0.8927746
849,Technical Writer,Technical Writers,0.9577752
850,Business Analyst,Management Analysts,0.7905328
851,Space Instrument Engineer,Aerospace Engineers,0.67729425
852,Data Science Expert,Data Scientists,0.8686273
853,Sports Instructor,Athletic Trainers,0.74077964
854,Strategic Initiatives Manager,General and Operations Managers,0.55885756
855,Freelance Musician,Musicians and Singers,0.58218443
856,Bioethics Bowl Coach,Biological Technicians,0.46101063
857,Founding Member,Air Crew Members,0.35102376
858,Analytics Expert,Business Intelligence Analysts,0.64367676
859,Vaccine Process Engineer,Biological Technicians,0.43342292
860,Human Factors Engineer,Human Factors Engineers and Ergonomists,0.78361505
861,Associate Banker,"Financial Clerks, All Other",0.6290945
862,Senior Equity Analyst,Financial and Investment Analysts,0.67934406
863,Associate Systems Engineer,Computer Systems Engineers/Architects,0.7043463
864,Junior Analyst,Management Analysts,0.6704717
865,Real World Data Epidemiologist,Epidemiologists,0.61120087
866,Project Research Intern,Project Management Specialists,0.6796377
867,Operations Strategy & Analytics Associate,Operations Research Analysts,0.6777463
868,Engineer I,"Engineers, All Other",0.8087462
869,Social Media Manager,Public Relations Managers,0.6554723
870,Marketing Manager,Marketing Managers,0.96043384
871,Acquisitions Analyst,Management Analysts,0.66723526
872,Vertical Market Manager,Marketing Managers,0.6329629
873,Senior Design Researcher,"Designers, All Other",0.5932738
874,Democracy Postdoctoral Fellow,Postal Service Clerks,0.47430366
875,Assistant Professor of Finance,"Financial Specialists, All Other",0.62168884
876,Dermatology Physician Assistant,Dermatologists,0.75424206
877,Assistant Policy Researcher,Social Science Research Assistants,0.6652317
878,Investments and Operations Professional,Operations Research Analysts,0.73336375
879,Consulting Associate,"Office Clerks, General",0.5240358
880,Sales Support Specialist,Sales Managers,0.72448385
881,Investment Fellow Analyst,Financial and Investment Analysts,0.77858305
882,Executive Underwriter,Insurance Underwriters,0.66347593
883,Ambassador,Travel Agents,0.52867955
884,Senior Consultant,Human Resources Specialists,0.5837128
885,Power And Gas Strategist,Gas Plant Operators,0.5548019
886,Science Faculty,"Biological Science Teachers, Postsecondary",0.6978204
887,Deputy Mayor,Chief Sustainability Officers,0.4967441
888,Wholesale Manager,Sales Managers,0.6091615
889,Tech Lead Manager,Media Technical Directors/Managers,0.5932135
890,Master of Arts,Art Therapists,0.6372098
891,Backend Developer,Web Developers,0.64123005
892,Investment Executive,Investment Fund Managers,0.7346612
893,co founder,Chief Executives,0.44704664
894,Doctor of Law,Lawyers,0.6766548
895,Motion Researcher,Motion Picture Projectionists,0.61377996
896,Clinician,Hospitalists,0.68948495
897,Consulting Advisor,Residential Advisors,0.678187
898,Segment Producer,Industrial Production Managers,0.48955595
899,Senior Product Associate,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",0.5568252
900,Public Health Manager,Medical and Health Services Managers,0.7869251
901,Upper School French Teacher,"Postsecondary Teachers, All Other",0.53521866
902,Bid and Value Engineer,Sales Engineers,0.5620761
903,Go to Market Strategy & Operations Lead,Operations Research Analysts,0.5385072
904,Solution Delivery Manager,Logistics Engineers,0.51768017
905,Senior Strategy Manager,General and Operations Managers,0.5897765
906,Adjunct Professor,"Teachers and Instructors, All Other",0.6209831
907,Music Teacher,Music Therapists,0.72605014
908,Orthopaedic Surgery Resident,"Orthopedic Surgeons, Except Pediatric",0.66191626
909,Senior Revenue Operations Manager,General and Operations Managers,0.67804843
910,Digital Newsroom Coordinator,Instructional Coordinators,0.574631
911,Employee,Labor Relations Specialists,0.61593413
912,Senior Data Strategist,Data Scientists,0.5318474
913,Faculty Associate,"Education Administrators, All Other",0.5581683
914,Social Studies Teacher,"Social Sciences Teachers, Postsecondary, All Other",0.71096265
915,Associate Publicist,Public Relations Specialists,0.5339993
916,Machine Learning Engineer,Computer Hardware Engineers,0.6608471
917,Visiting Fulbright Scholar,Archivists,0.39413765
918,Canadian Ice Hockey Player,Sports Medicine Physicians,0.36777127
919,Experienced Propulsion Engineer,Mechanical Engineers,0.663046
920,Digital Communications Manager,Telecommunications Engineering Specialists,0.65216964
921,Software Technical Architect Leader,Architectural and Engineering Managers,0.6216804
922,Sustainability Advisor,Sustainability Specialists,0.87127674
923,Returning Markets Summer Analyst,Market Research Analysts and Marketing Specialists,0.5173985
924,Film Production & Acquisitions Coordinator,Producers and Directors,0.6043837
925,Investment Engineer,Industrial Engineers,0.68592864
926,Implementation Manager,Compliance Managers,0.56235814
927,MRI Coordinator,Magnetic Resonance Imaging Technologists,0.61341536
928,Environmental Consultant,Environmental Engineers,0.76345664
929,Justice Catalyst Fellow,Lawyers,0.37422293
930,Project Engineer,Project Management Specialists,0.77820945
931,Solutions Manager,Project Management Specialists,0.5715673
932,Sponsorship & Partnership Producer,Producers and Directors,0.5622759
933,Senior Legal Counsel,Lawyers,0.67074883
934,Market Operations Analyst,Operations Research Analysts,0.8086042
935,Statistical Programmer,Computer Programmers,0.71347487
936,Creator,Writers and Authors,0.45150363
937,Chief Nursing Officer,Registered Nurses,0.66375786
938,Salesperson,Retail Salespersons,0.8776991
939,Lead Data Scientist,Data Scientists,0.660169
940,Modeling Associate,Models,0.5484866
941,YouTube Data Science,Data Scientists,0.54045653
942,Medical Laboratory Scientist,Medical and Clinical Laboratory Technologists,0.8328068
943,Digital Strategist,Digital Forensics Analysts,0.54977083
944,Structural Engineering Intern,Mechanical Engineers,0.6050683
945,Head of Operations,General and Operations Managers,0.5728916
946,Freelance Artist,Craft Artists,0.7459024
947,Resident Tutor,Tutors,0.7782358
948,Lead Associate Trading Director,Talent Directors,0.4954142
949,Neuroradiology Fellow,Neurologists,0.6754557
950,Senior Production Underwriter,Insurance Underwriters,0.53222346
951,Director of City Growth,Urban and Regional Planners,0.4934099
952,Residential Counselor,"Counselors, All Other",0.7220076
953,Comments Editor,Editors,0.63183945
954,Director of Operations,General and Operations Managers,0.67331296
955,Law Fellow,Lawyers,0.66573846
956,Senior Growth Strategist,Management Analysts,0.48669547
957,Gallery Associate,Art Directors,0.5709324
958,Senior Community Developer,Software Developers,0.62452453
959,Risk Manager,Financial Risk Specialists,0.711247
960,Junior Research Analyst,Management Analysts,0.6418907
961,Senior Clinical Research Associate,Clinical Research Coordinators,0.7099
962,Investment Research Analyst,Financial and Investment Analysts,0.8528255
963,Engineering Solutions Analyst,Industrial Engineers,0.6380656
964,Senior Healthcare Consultant,Medical and Health Services Managers,0.60017526
965,Innovation Strategist,Search Marketing Strategists,0.57604367
966,Private Equity,"Securities, Commodities, and Financial Services Sales Agents",0.44095066
967,Clerk,Order Clerks,0.7836758
968,SABER Logger,Foresters,0.44370753
969,Solar Design Engineer,Solar Energy Systems Engineers,0.8584055
970,Offensive Line Coach,Coaches and Scouts,0.46506387
971,Partnerships and Innovation Projects Coordinator,Project Management Specialists,0.5211731
972,Senior Analytics Manager,Management Analysts,0.5917734
973,Natural Language Processing Engineer,Computer Hardware Engineers,0.4987236
974,Sales Executive,Sales Managers,0.80457574
975,Developer,Software Developers,0.8185863
976,Advocacy Officer,Lawyers,0.610672
977,Clinical Ultrasound Fellow,Diagnostic Medical Sonographers,0.63664377
978,Technical Writer II,Technical Writers,0.85541385
979,Senior Advanced Physicist,Physicists,0.7496531
980,Peer Tutor,Tutors,0.8140523
981,Strategic Advisor,Management Analysts,0.62057686
982,Associate Technical Artist,"Fine Artists, Including Painters, Sculptors, and Illustrators",0.64123994
983,Anesthesiologist,Anesthesiologists,0.97127914
984,Real Estate Broker Associate,Real Estate Brokers,0.8836872
985,Client Services Specialist,"Personal Service Managers, All Other",0.61328125
986,Managing Principal,"Education Administrators, All Other",0.50639343
987,Clinical Research Coordinator,Clinical Research Coordinators,0.976802
988,Associate Business Lead,"Business Operations Specialists, All Other",0.5027607
989,Business Intelligence Engineer II,Business Intelligence Analysts,0.71126163
990,Strategic Finance Manager,Financial Managers,0.7986887
991,Enterprise Customer Relationship Executive,Customer Service Representatives,0.542758
992,Performance Artist,"Makeup Artists, Theatrical and Performance",0.68791026
993,Clinician Scientist,"Medical Scientists, Except Epidemiologists",0.7507169
994,Internal Business Consultant,"Business Operations Specialists, All Other",0.57701856
995,Senior System Engineer,Industrial Engineers,0.65591073
996,Principal Support Engineer,Mechanical Engineers,0.5888823
997,Architect III,Landscape Architects,0.6209601
998,Research Statistician,Statisticians,0.7565424
999,Entrepreneur In Residence,Residential Advisors,0.44305253
1000,Engineer,"Engineers, All Other",0.8593637
1001,Logistics Lead,Logistics Engineers,0.6072233
1002,Math 6 Teacher,"Mathematical Science Teachers, Postsecondary",0.67453897
1003,Senior Simulation Engineer,Industrial Engineers,0.54351914
1004,Staff Research Scientist,Clinical Research Coordinators,0.60785276
1005,Chief,Chief Executives,0.6963555
1006,Compliance & Operations Associate,Compliance Officers,0.83964705
1007,Policy Officer,Compliance Officers,0.7006885
1008,Incoming GNC Engineer,Nuclear Engineers,0.42361176
1009,Assistant Inventory Planner,"Shipping, Receiving, and Inventory Clerks",0.59657407
1010,Manager II,"Managers, All Other",0.62820405
1011,Senior Cities Consultant,Urban and Regional Planners,0.5711531
1012,Attorney At Law,Lawyers,0.78130877
1013,Innovation Fellow,Industrial Engineers,0.48193887
1014,Post-Placement Counselor,"Counselors, All Other",0.6930971
1015,Choreographer,Choreographers,0.95942354
1016,Managing Consultant,Management Analysts,0.5525961
1017,Consumer Director,Customer Service Representatives,0.64080584
1018,Client Solutions Manager,Project Management Specialists,0.40656018
1019,Senior Programmatic Partner Manager,General and Operations Managers,0.45256472
1020,Company Commander,Command and Control Center Officers,0.6103887
1021,Sector Data Associate,Data Warehousing Specialists,0.48088664
1022,Supplier Quality Engineer,Manufacturing Engineers,0.6234579
1023,Senior Data Science Analyst,Data Scientists,0.7750505
1024,Obstetrics and Gynecology Resident,Obstetricians and Gynecologists,0.84028697
1025,Juris Doctorate Candidate,Judicial Law Clerks,0.52879906
1026,New Product Development Engineer,Manufacturing Engineers,0.66698086
1027,College and Career Advisor,"Educational, Guidance, and Career Counselors and Advisors",0.7419932
1028,Head of North America,Chief Executives,0.39328992
1029,Clinic Director,Clinical Research Coordinators,0.61148465
1030,Director of Product,Producers and Directors,0.6135473
1031,Operations and HR Consultant,Human Resources Specialists,0.7127192
1032,Development Test Engineer,Non-Destructive Testing Specialists,0.59094906
1033,Staff Research Associate II,Human Resources Specialists,0.5506358
1034,Junior Aerodynamics Engineer,Aerospace Engineers,0.59244025
1035,strategy expert,Management Analysts,0.52470297
1036,Upper School Mathematics Teacher,"Mathematical Science Teachers, Postsecondary",0.76023734
1037,Artistic Director,Art Directors,0.8802658
1038,Client Manager,Sales Managers,0.51750094
1039,Freelance Technical Translator,Interpreters and Translators,0.63709635
1040,Chapter President,Chief Executives,0.3784585
1041,Alternative Markets Group Associate,"Securities, Commodities, and Financial Services Sales Agents",0.45146656
1042,Analytics Manager,Clinical Data Managers,0.53366345
1043,Redwoods Resident,Foresters,0.4440968
1044,Public Defender,Lawyers,0.5914177
1045,Engineering Manager,Architectural and Engineering Managers,0.73879087
1046,Supply Chain Analyst,Supply Chain Managers,0.78104496
1047,Direct Lending Analyst,Credit Analysts,0.6795894
1048,Systems Engineer,Computer Systems Engineers/Architects,0.7873583
1049,Commercial Account,Bill and Account Collectors,0.524392
1050,Process and Analytics Coach,Management Analysts,0.45237488
1051,Communications Fellow,"Media and Communication Workers, All Other",0.59308904
1052,Investment Vice President,Investment Fund Managers,0.53758866
1053,Municipal Credit Analyst,Credit Analysts,0.8111366
1054,Business Planning Analyst,Business Intelligence Analysts,0.73644876
1055,Visualization Specialist,Project Management Specialists,0.52825296
1056,Cheese and Beer Monger,Slaughterers and Meat Packers,0.43017226
1057,Economist,Economists,0.8677066
1058,Data Science Analyst,Data Scientists,0.8509052
1059,High Net Worth Service Associate,"Personal Service Managers, All Other",0.40666044
1060,Travel Insights Manager,Travel Agents,0.61292803
1061,Commercial Training Manager,Training and Development Managers,0.7044363
1062,School Grounds Manager,Facilities Managers,0.5424237
1063,Senior Counsel,"Counselors, All Other",0.6143577
1064,Research and development,Training and Development Specialists,0.4851367
1065,Business Strategy Analyst,Management Analysts,0.6793784
1066,Credit Trader,Credit Analysts,0.71261346
1067,Strategy & Operations Director,General and Operations Managers,0.6908594
1068,Private Mathematics Tutor,Tutors,0.7139517
1069,Senior Systems Engineer,Computer Systems Engineers/Architects,0.6409136
1070,Content Initiatives Manager,Information Technology Project Managers,0.55412287
1071,Omnichannel Manager,Security Managers,0.39046213
1072,Software developer,Software Developers,0.94959116
1073,Staff Mechanical Engineering Team Leader,Mechanical Engineers,0.6360197
1074,Engineering Manager II,Architectural and Engineering Managers,0.6689082
1075,Content Lead,Media Programming Directors,0.35875106
1076,Product Business Analyst,Business Intelligence Analysts,0.6822695
1077,Counsel to the Deputy Attorney General,"Office Clerks, General",0.48029992
1078,Senior Software Engineer I,Software Developers,0.6845107
1079,Senior Business Operations Analyst,"Business Operations Specialists, All Other",0.77312404
1080,Product Lead,"Potters, Manufacturing",0.38655764
1081,Epidemic Intelligence Service Officer,Security Management Specialists,0.5244531
1082,Area Scout,Coaches and Scouts,0.55149794
1083,Senior Build Engineer,Manufacturing Engineers,0.6319015
1084,Teaching Artist,Craft Artists,0.6786953
1085,Quantitative Associate,Financial Quantitative Analysts,0.5260989
1086,User Experience Product Manager,Computer User Support Specialists,0.41383374
1087,Administrative Aide,Administrative Services Managers,0.70106757
1088,Deputy Inspector General,"Office Clerks, General",0.5477581
1089,Senior Researcher,Archivists,0.563921
1090,Associate Blogger,Editors,0.35944223
1091,Support Engineer,Mechanical Engineers,0.662132
1092,Software Dev Engineer,Software Developers,0.85158503
1093,Behavior Therapist,"Therapists, All Other",0.6696014
1094,Content & Program Operations Manager,General and Operations Managers,0.5567697
1095,Pediatric Resident,"Pediatricians, General",0.7189826
1096,Marketing Analytics Supervisor,Marketing Managers,0.6006199
1097,Algo Developer Lead,Software Developers,0.50071454
1098,Diversity Scholars Postdoctoral Fellow,Archivists,0.43692884
1099,Macro Business Manager,General and Operations Managers,0.5560756
1100,Technical Artist,Technical Writers,0.65206975
1101,Brand Finance Associate Manager,Financial Managers,0.6363196
1102,Psychiatry Fellow,Psychiatrists,0.7149205
1103,Visiting Assistant Professor,Dental Assistants,0.47469562
1104,AAAS Congressional Science Policy Fellow,Political Scientists,0.5598272
1105,Software And Automation Engineer,Industrial Engineers,0.6469017
1106,Elementary Support Teacher,"Elementary School Teachers, Except Special Education",0.6603608
1107,Assistant Director of Admissions,Legal Secretaries and Administrative Assistants,0.54168904
1108,Cashier,Cashiers,0.89691496
1109,Essay Editor,Editors,0.71874964
1110,Structural Design Engineer II,Materials Engineers,0.58863413
1111,Asia Tech Correspondent,Nuclear Technicians,0.5195383
1112,Data journalist,Data Scientists,0.71041834
1113,Rehabilitation Coach,Rehabilitation Counselors,0.69928133
1114,Regional CEO,Chief Executives,0.66973925
1115,Strategy & Operations Manager,General and Operations Managers,0.8008529
1116,Regulatory Analyst,Regulatory Affairs Specialists,0.80205786
1117,Consulting,Procurement Clerks,0.54232323
1118,Compliance Associate,Compliance Officers,0.8393124
1119,Global BD & Partnerships Lead,Supply Chain Managers,0.36580282
1120,Site Reliability Engineer,Civil Engineers,0.5135741
1121,Usability Researcher,Computer and Information Research Scientists,0.51573884
1122,Senior Reporter,"News Analysts, Reporters, and Journalists",0.5535157
1123,Deputy Program Manager,Administrative Services Managers,0.54531825
1124,PGY-4,Glaziers,0.34153515
1125,Strategy & Operations Program Manager,General and Operations Managers,0.7201734
1126,Recruitment Consultant,Human Resources Specialists,0.59001625
1127,Worldwide Procurement Analyst,Procurement Clerks,0.6281969
1128,Senior Systems Software Engineer,Software Developers,0.64890647
1129,Senior Geoscientist,"Geoscientists, Except Hydrologists and Geographers",0.7290343
1130,Senior Nuclear Project Engineer,Nuclear Engineers,0.8644786
1131,Fundamental Research Analyst,Financial Quantitative Analysts,0.61616695
1132,Product Manager,Sales Managers,0.6620866
1133,Product Operations Manager,General and Operations Managers,0.67478585
1134,Data Scientist III,Data Scientists,0.8507875
1135,Chief Medical Scribe,Medical Records Specialists,0.5626428
1136,Battalion Assistant Operations Officer,Infantry Officers,0.73168147
1137,Assistant Public Defender,Lawyers,0.5272977
1138,Associate Marketing Manager,Marketing Managers,0.814031
1139,Policy Specialist,Regulatory Affairs Specialists,0.7031696
1140,Sales Operations Manager,Sales Managers,0.8394512
1141,Lead Material Scientist,Materials Scientists,0.7399801
1142,Technical Solutions Consultant,Industrial Engineering Technologists and Technicians,0.57553685
1143,Senior Security Consultant,Security Management Specialists,0.7966197
1144,External Relations Operations Manager,Public Relations Managers,0.50237584
1145,DMD Candidate,Political Scientists,0.3417452
1146,Technical Researcher,Technical Writers,0.7297986
1147,Co-Editor-in-Chief,Editors,0.7106831
1148,Sales Operations Associate,Sales Engineers,0.7187649
1149,Technology Associate,"Health Technologists and Technicians, All Other",0.6107613
1150,Hardware Engineer Lead,Computer Hardware Engineers,0.64671373
1151,Development Officer,Training and Development Specialists,0.7546153
1152,Named Visiting Assistant Professor,"Office Clerks, General",0.4356387
1153,Visiting Policy Associate,Insurance Claims and Policy Processing Clerks,0.4500362
1154,Director of Finance,Financial Managers,0.6688374
1155,Senior Associate Advisory,Residential Advisors,0.5203165
1156,Quality Systems Specialist,Quality Control Systems Managers,0.73468256
1157,Healthcare Manager,Medical and Health Services Managers,0.8785809
1158,Veterinary Specialist,Veterinarians,0.78970087
1159,Lead Associate,Infantry Officers,0.45438078
1160,Pediatric Cardiologist Research Assistant,Cardiologists,0.71607786
1161,Future Trainee Solicitor,Lawyers,0.51259184
1162,Workday Consultant,Labor Relations Specialists,0.49614042
1163,MS Candidate,Political Scientists,0.39346814
1164,Research Manager,Clinical Research Coordinators,0.65116847
1165,Assistant Attorney,Lawyers,0.64252305
1166,Software Consultant,Software Developers,0.76388144
1167,Machine Learning Engineer I,Computer Hardware Engineers,0.6811917
1168,Business Development Representative Manager,Training and Development Specialists,0.5973227
1169,KIPAC Postdoctoral Fellow,"Life Scientists, All Other",0.40666398
1170,Data Associate,Data Scientists,0.58339924
1171,Data Analyst III,Data Scientists,0.69741774
1172,Bioprocess Engineer,Biofuels Processing Technicians,0.6647656
1173,Principal Engineer,Mechanical Engineers,0.7131219
1174,Private Equity Analyst,Financial and Investment Analysts,0.71056616
1175,Bilingual Teacher,"Foreign Language and Literature Teachers, Postsecondary",0.60904765
1176,Structural Engineering,Materials Engineers,0.5637887
1177,Senior Program Officer,Special Forces Officers,0.6296729
1178,Structuring Associate,Labor Relations Specialists,0.48254395
1179,History Instructor,"History Teachers, Postsecondary",0.6838716
1180,Development Group Leader,Training and Development Specialists,0.58119524
1181,Exploratory Research Lead,Computer and Information Research Scientists,0.39715254
1182,Senior Account Services Lead,New Accounts Clerks,0.44830894
1183,Senior Appellate Counsel,Lawyers,0.59121764
1184,Growth and Operations Associate,Operations Research Analysts,0.6574793
1185,Commercial Real Estate Underwriter,Insurance Underwriters,0.6200973
1186,Research Technician B,Biological Technicians,0.65695596
1187,UX Designer,"Designers, All Other",0.7452003
1188,Special Assistant to the CEO,Chief Executives,0.65817094
1189,Commissioner,Chief Executives,0.5276823
1190,Student Coordinator,Instructional Coordinators,0.8069577
1191,Attending Psychiatrist,Psychiatric Technicians,0.6523644
1192,Orchestra Director,Music Directors and Composers,0.72549
1193,Core Lecturer,"Teachers and Instructors, All Other",0.5607995
1194,Senior Growth Marketing Manager,Marketing Managers,0.784401
1195,Community & Insights Associate,"Community and Social Service Specialists, All Other",0.5426668
1196,Senior Solutions Architect,Project Management Specialists,0.5731402
1197,Tax Senior,Tax Preparers,0.5833312
1198,Downtown Development Director,Training and Development Specialists,0.48760456
1199,Press Secretary,Public Relations Managers,0.52982557
1200,Senior Procurement Analyst,Management Analysts,0.65272737
1201,Junior Story Producer,Producers and Directors,0.5629784
1202,Registered Psychotherapist,Psychiatric Technicians,0.6372
1203,District Public Information Specialist,Public Relations Specialists,0.65837955
1204,Regional Sales Manager,Sales Managers,0.77247036
1205,Field Organizer,Document Management Specialists,0.3879942
1206,Institutional Equity Associate,"Financial Specialists, All Other",0.46937177
1207,Technical Staff,Technical Writers,0.6724463
1208,Corporate Lawyer,Lawyers,0.8065442
1209,Research and Analysis Assistant,Statistical Assistants,0.67322993
1210,Global Sales Transformation Leader,Sales Managers,0.65816826
1211,AI and Data Product specialist,Data Scientists,0.64873195
1212,Senior Enterprise Client Solutions Manager,Administrative Services Managers,0.53128517
1213,Director of Acquisitions,Talent Directors,0.4937402
1214,Senior Hardware Engineer,Computer Hardware Engineers,0.77909565
1215,Administrative Director,Administrative Services Managers,0.75993764
1216,8th Grade Counselor,"Counselors, All Other",0.7249086
1217,Lead Android Engineer,Materials Engineers,0.41872174
1218,Content Author,Writers and Authors,0.59224117
1219,Media Research Lead,Media Technical Directors/Managers,0.5973043
1220,MPhil Student,Health Education Specialists,0.41533744
1221,Curator,Curators,0.92143035
1222,Senior Health Analyst,Health Education Specialists,0.6695887
1223,Life Sciences Consultant,"Life Scientists, All Other",0.6860605
1224,Chief Architect,Landscape Architects,0.614627
1225,Research Specialist,Clinical Research Coordinators,0.68498796
1226,MD-PhD student,Clinical Nurse Specialists,0.52082
1227,Grants Management Specialist,"Financial Specialists, All Other",0.5874466
1228,Assistant Program Director,"Teaching Assistants, All Other",0.5823406
1229,Lead Climate Risk Advisor,Climate Change Policy Analysts,0.5932517
1230,Senior Data Scientist II,Data Scientists,0.73432994
1231,Senior Product Engineer,Manufacturing Engineers,0.6734613
1232,Development Manager,Training and Development Managers,0.75064266
1233,Deployment Engineer,Ship Engineers,0.6265779
1234,Doctor of Medicine,"Physicians, All Other",0.74307966
1235,Corporate Student,"Financial Specialists, All Other",0.51339006
1236,Pulmonologist,"Physicians, Pathologists",0.6140914
1237,Marketplace Strategy and Operations Manager,General and Operations Managers,0.6124824
1238,Senior Salesforce Consultant,Residential Advisors,0.56176305
1239,Veterinarian,Veterinarians,0.9378924
1240,Catering Coordinator,Food Service Managers,0.72392786
1241,Research Project Associate,Social Science Research Assistants,0.6229824
1242,Associate Operations Manager,General and Operations Managers,0.77376956
1243,Data Consultant,Data Scientists,0.74400353
1244,Gruber Fellow,Fallers,0.32413632
1245,Asset and Transaction Manager,Financial Managers,0.554277
1246,Proofreader,Proofreaders and Copy Markers,0.66440815
1247,Product Marketing Lead,Marketing Managers,0.55404824
1248,Agent Assistant,Real Estate Sales Agents,0.6265419
1249,Data Specialist,Data Scientists,0.80288136
1250,Registered Architect,Landscape Architects,0.62726194
1251,Visiting Researcher,Clinical Research Coordinators,0.43392974
1252,Digital Marketing Consultant,Marketing Managers,0.6234621
1253,Social Emotional Learning Virtual Facilitator,Social Science Research Assistants,0.3844315
1254,Astrodynamics and Control Systems Analyst,Computer Systems Analysts,0.44868785
1255,Tour Guide,Travel Guides,0.741112
1256,Strategic Client Success Associate,Market Research Analysts and Marketing Specialists,0.3952797
1257,RIA Market Leader,Marketing Managers,0.4798172
1258,Manager of Strategy & Growth,"Managers, All Other",0.6078468
1259,Leadership Advisory Specialist,Chief Sustainability Officers,0.59151846
1260,Project Lead,Project Management Specialists,0.5705523
1261,Key Account Director,New Accounts Clerks,0.423475
1262,Dermatology Resident,Dermatologists,0.792397
1263,Adjunct teacher,"Teachers and Instructors, All Other",0.6749968
1264,Junior Assistant Resident,Medical Assistants,0.51583797
1265,Senior machine learning system engineer,Computer Hardware Engineers,0.5305877
1266,Private Wealth Analyst,Financial and Investment Analysts,0.6516325
1267,Director of Product Management,Sales Managers,0.59474576
1268,Rector,"Education Administrators, All Other",0.51757383
1269,?Dermatologist,Dermatologists,0.91017926
1270,Director of Sales,Sales Managers,0.7244195
1271,Pediatric Anesthesiologist,Anesthesiologists,0.7707474
1272,Photographer,Photographers,0.8691849
1273,Postdoctoral Researcher,Archivists,0.52928954
1274,PGY-6 Chief Resident,Chief Sustainability Officers,0.41104758
1275,Director of Workday Innovation Services,"Business Operations Specialists, All Other",0.4222835
1276,Group Chief Executive Officer,Chief Executives,0.8148064
1277,Lead Data Analyst,Management Analysts,0.5480586
1278,Senior Marketing Coordinator,Marketing Managers,0.7107445
1279,Stunt Actor,Actors,0.6288068
1280,Toxics and Plastics Campaigner,"Model Makers, Metal and Plastic",0.427819
1281,Head of Voice,Musicians and Singers,0.43609485
1282,Human Capital Consultant,Human Resources Managers,0.67732143
1283,Higher Education Consulting Senior Analyst,Management Analysts,0.6281322
1284,Freelance Copywriter,File Clerks,0.47551414
1285,Quality Engineer,Manufacturing Engineers,0.71444595
1286,Associate Technical Engagement Manager,Administrative Services Managers,0.4832469
1287,Co-Chair,Upholsterers,0.42121458
1288,Marketing Consultant,Marketing Managers,0.7646335
1289,Domain Expert,Web Administrators,0.48706162
1290,Content Creator,Editors,0.48191696
1291,Principal Research Scientist,"Biological Scientists, All Other",0.58489907
1292,Director,Art Directors,0.67581093
1293,Enterprise Risk Manager,Financial Risk Specialists,0.64036703
1294,Senior Equity Research Associate,"Financial Specialists, All Other",0.47349793
1295,Software Development Manager III,Software Developers,0.6600841
1296,Android Engineer,Computer Hardware Engineers,0.5067219
1297,Medical Science Liaison,Medical Assistants,0.6388368
1298,Cardiology Fellow,Cardiologists,0.75958204
1299,Healthcare Investment Banking Associate,"Financial Specialists, All Other",0.5000473
1300,Business Operations Analyst,Operations Research Analysts,0.8348499
1301,Venture Lead,Talent Directors,0.40346396
1302,Dean,"Education Administrators, All Other",0.42374513
1303,Securitized Products Trader,"Securities, Commodities, and Financial Services Sales Agents",0.59802014
1304,Assistant Concertmaster,Music Therapists,0.60257924
1305,Voice Over Artist,Musicians and Singers,0.56285936
1306,Social Science Research Analyst,Social Science Research Assistants,0.7421851
1307,Product Management,Industrial Production Managers,0.6077765
1308,Executive Associate,Executive Secretaries and Executive Administrative Assistants,0.65517247
1309,Campaign Coordinator,Instructional Coordinators,0.5245554
1310,Security Software Engineer II,Information Security Engineers,0.79157704
1311,CX Insights Researcher,Business Intelligence Analysts,0.52268225
1312,Information Management Officer,Computer and Information Systems Managers,0.7422665
1313,Second Violin,Musicians and Singers,0.35190088
1314,Denver Recruiting Director,Talent Directors,0.48416838
